GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10.1,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts,player_name
2024-12-12,DET @ BOS,BOS,1630595,22401205,0,5.0,26.0,24.8,34.4,35.6,19.8,4.8,26.712,109.7,109.7,227.7,118.0,18,cade_cunningham
2024-12-13,MIN vs. LAL,LAL,1630162,22401210,1,5.0,20.4,23.8,32.2,35.5,17.0,3.0,22.12,115.4,115.4,220.3,104.9,23,anthony_edwards
2024-12-14,MIL vs. ATL,ATL,203507,22401229,1,4.0,32.0,33.2,34.8,34.9,19.2,13.2,29.008,118.3,118.3,237.9,119.6,32,giannis_antetokounmpo
2024-12-14,OKC vs. HOU,HOU,1628983,22401230,1,4.0,31.6,32.6,33.6,35.5,20.2,7.4,25.456,106.2,106.2,217.6,111.4,32,shai_gilgeous-alexander
2024-12-15,MIN @ SAS,SAS,1630162,22401218,0,2.0,20.8,23.7,31.6,34.9,16.8,3.0,22.12,118.6,118.6,234.1,115.5,26,anthony_edwards
2024-12-15,NYK @ ORL,ORL,1628973,22401227,0,4.0,22.0,24.0,33.8,34.3,14.4,5.8,19.552,104.4,104.4,213.6,109.2,31,jalen_brunson
2024-12-15,LAL vs. MEM,MEM,2544,22401220,1,5.0,23.4,22.6,34.6,34.7,20.0,3.8,26.272,115.3,115.3,243.8,128.5,18,lebron_james
2024-12-15,GSW vs. DAL,DAL,201939,22401228,1,4.0,23.8,22.9,33.4,32.3,19.2,5.8,24.152,115.4,115.4,238.3,122.9,26,stephen_curry
2024-12-16,DET vs. MIA,MIA,1630595,22401221,1,4.0,24.2,24.5,34.0,35.3,19.0,3.0,24.72,107.7,107.7,221.8,114.1,20,cade_cunningham
2024-12-19,MIN vs. NYK,NYK,1630162,22400367,1,4.0,24.4,23.7,31.8,34.1,18.4,3.2,23.408,106.4,106.4,221.0,114.6,17,anthony_edwards
2024-12-19,DET vs. UTA,UTA,1630595,22400360,1,3.0,23.4,23.0,35.8,35.2,18.6,4.0,24.36,121.8,121.8,233.2,111.4,33,cade_cunningham
2024-12-19,NYK @ MIN,MIN,1628973,22400367,0,4.0,24.0,24.8,36.0,34.4,15.0,7.8,21.032,97.4,97.4,202.0,104.6,14,jalen_brunson
2024-12-19,LAL @ SAC,SAC,2544,22400372,0,4.0,24.6,21.8,34.6,34.7,20.8,4.2,27.248,115.1,115.1,235.7,120.6,19,lebron_james
2024-12-19,OKC @ ORL,ORL,1628983,22400361,0,5.0,31.6,32.6,34.0,35.6,20.6,8.2,26.008,104.4,104.4,211.6,107.2,35,shai_gilgeous-alexander
2024-12-19,GSW @ MEM,MEM,201939,22400366,0,4.0,24.4,22.9,34.0,32.6,18.8,5.0,23.8,113.8,113.8,239.1,125.3,2,stephen_curry
2024-12-20,MIL @ CLE,CLE,203507,22400374,0,5.0,32.8,34.4,36.8,35.1,20.0,14.4,29.336,110.2,110.2,228.2,118.0,33,giannis_antetokounmpo
2024-12-20,OKC @ MIA,MIA,1628983,22400375,0,1.0,33.4,33.3,35.2,35.3,22.0,8.6,28.384000000000004,108.4,108.4,222.6,114.2,25,shai_gilgeous-alexander
2024-12-21,MIN vs. GSW,GSW,1630162,22400383,1,2.0,24.6,22.6,33.4,33.6,18.8,2.8,23.632,114.9,114.9,220.9,106.0,19,anthony_edwards
2024-12-21,DET @ PHX,PHX,1630595,22400387,0,2.0,25.4,24.8,37.0,35.5,20.0,3.6,25.584,114.2,114.2,230.9,116.7,28,cade_cunningham
2024-12-21,NYK @ NOP,NOP,1628973,22400384,0,2.0,22.0,23.9,36.6,33.6,16.2,6.6,22.304,120.8,120.8,228.4,107.6,39,jalen_brunson
2024-12-21,LAL @ SAC,SAC,2544,22400376,0,2.0,23.0,20.6,34.2,34.4,19.4,4.0,25.56,113.4,113.4,233.1,119.7,32,lebron_james
2024-12-21,GSW @ MIN,MIN,201939,22400383,0,2.0,20.0,20.8,32.0,32.0,15.6,4.6,19.824,100.0,100.0,204.8,104.8,31,stephen_curry
2024-12-23,MIN @ ATL,ATL,1630162,22400395,0,2.0,22.4,21.6,34.2,33.2,19.2,2.8,23.432,116.5,116.5,232.5,116.0,16,anthony_edwards
2024-12-23,DET @ LAL,LAL,1630595,22400404,0,2.0,25.6,25.5,37.4,36.0,19.6,5.0,25.4,108.6,108.6,211.5,102.9,20,cade_cunningham
2024-12-23,NYK vs. TOR,TOR,1628973,22400397,1,2.0,23.6,24.1,35.8,34.0,15.8,6.0,21.44,116.6,116.6,226.5,109.9,12,jalen_brunson
2024-12-23,LAL vs. DET,DET,2544,22400404,1,2.0,27.4,22.0,34.8,34.3,21.0,4.4,26.936,121.5,121.5,237.5,116.0,28,lebron_james
2024-12-23,OKC vs. WAS,WAS,1628983,22400400,1,3.0,32.4,32.1,36.8,35.6,22.6,7.4,28.656,120.6,120.6,226.5,105.9,41,shai_gilgeous-alexander
2024-12-23,GSW vs. IND,IND,201939,22400403,1,2.0,21.6,22.0,32.4,32.1,16.4,4.0,19.96,114.0,114.0,229.1,115.1,10,stephen_curry
2024-12-25,MIN @ DAL,DAL,1630162,22400406,0,2.0,20.2,20.3,33.2,32.7,19.4,2.6,23.344,113.4,113.4,234.7,121.3,26,anthony_edwards
2024-12-25,NYK vs. SAS,SAS,1628973,22400405,1,2.0,22.0,22.2,35.2,33.5,15.8,6.6,21.704,117.7,117.7,231.8,114.1,20,jalen_brunson
2024-12-25,LAL @ GSW,GSW,2544,22400408,0,2.0,27.2,23.0,36.0,34.3,20.6,5.0,26.2,113.0,113.0,218.7,105.7,31,lebron_james
2024-12-25,GSW vs. LAL,LAL,201939,22400408,1,2.0,17.6,21.6,32.4,32.4,15.4,2.6,18.344,110.2,110.2,215.2,105.0,38,stephen_curry
2024-12-26,DET @ SAC,SAC,1630595,22400418,0,3.0,23.8,24.9,37.4,35.9,21.2,4.0,26.96,114.0,114.0,231.0,117.0,33,cade_cunningham
